title,company,location,description,link
AI/ML Engineer,HCLTech,"Noida, Ghaziabad","Dear Candidate, We are hiring for AL/ML Engineer across all prime location. Location - Noida, Chennai, Bangalore, Hyderabad, Pune. AI/ML Engineer – GenAI, Agentic AI Job Experience: 5–10 years (ML), 1–2 years (GenAI) Overview: Seeking AI/ML Engineer with expertise in Vertex AI, LLMs, and agentic workflows. Build intelligent systems using RAG, prompt engineering, and MLOps. Key Responsibilities: - Deploy and monitor ML models on Vertex AI. - Fine-tune LLMs and RAG systems. - Use LangChain, Llama…",https://www.adzuna.in/land/ad/5672738729?se=bt0V_s838RGKZ9TDM2Z5yg&utm_medium=api&utm_source=9296bc9e&v=5606E06A28D134F44AB29BEF44C86A9AE4A0B6B4
AI/ML Engineer,Kresta Softech Private Limited,"Chennai, Tamil Nadu","Job Details: Work Location; Chennai Mode of Work: 5 days work from Office Our AI stack increasingly relies on advanced LVLMs (Large Vision-Language Models) to extract, interpret, and process complex healthcare documents at scale. We are expanding our AI/ML team to accelerate our roadmap and enhance the sophistication, accuracy, and adaptability of our core AI systems. Role Overview We are seeking a highly skilled AI/ML Engineer with hands-on experience in modern multimodal AI systems—especially…",https://www.adzuna.in/land/ad/5680319126?se=bt0V_s838RGKZ9TDM2Z5yg&utm_medium=api&utm_source=9296bc9e&v=77D5217A14635260E16E1DC6210FD41C5736A207
AI/ML Engineer,AlifCloud IT Consulting Pvt. Ltd.,"Bangalore, Karnataka","Job Title: AI/ML Engineer Location: Remote Experience: 2–6 Years Department: AI Solutions Employment Type: Full-time Salary: 15 to 25 LPA About the Role We are looking for a highly skilled AI/ML Engineer to design, build, and deploy intelligent systems that solve real business problems. The ideal candidate will have hands‑on experience in machine learning, deep learning, data pipelines, and production‑grade model deployment. You will collaborate with cross‑functional teams, data engineers, and …",https://www.adzuna.in/land/ad/5697209615?se=bt0V_s838RGKZ9TDM2Z5yg&utm_medium=api&utm_source=9296bc9e&v=035D7695CC17C1C0B4360C4CE53450B62A3073A9
AI/ML Engineer,Giggso,"Chennai, Tamil Nadu","Company Description Founded in 2017 in Michigan, Giggso focuses on helping enterprises overcome challenges in digital transformation. As a Minority Business Enterprise (MBE), we provide innovative solutions driven by diverse perspectives and serve Fortune 500 clients globally by turning ""AI pilots"" into ""AI profit centers."" Giggso specializes in the intersection of Governance, Risk, and Compliance (GRC) and Engineering to address governance challenges in AI. Our mission is to transform AI gover…",https://www.adzuna.in/land/ad/5693749862?se=bt0V_s838RGKZ9TDM2Z5yg&utm_medium=api&utm_source=9296bc9e&v=B32A49B038DD06F8191DD1C07D7A788165CCE660
AI/ML Engineer,Intuitive.ai,"Ahmedabad, Gujarat","About us: Intuitive is an innovation-led engineering company delivering business outcomes for 100’s of Enterprises globally. With the reputation of being a Tiger Team & a Trusted Partner of enterprise technology leaders, we help solve the most complex Digital Transformation challenges across following Intuitive Superpowers: Modernization & Migration Application & Database Modernization Platform Engineering (IaC/EaC, DevSecOps & SRE) Cloud Native Engineering, Migration to Cloud, VMware Exit FinO…",https://www.adzuna.in/land/ad/5673891562?se=bt0V_s838RGKZ9TDM2Z5yg&utm_medium=api&utm_source=9296bc9e&v=4A0D4D515C51ABD6D11C6AACADCFD04A3CC01264
AI/ML Engineer,Axions,"West Bengal, India","Job Title: Sr. AI/ML Engineer About the Role: We are looking for a skilled Sr. AI Engineer / Data Scientist with hands-on experience in OCR pipelines and Large Language Model (LLM) fine-tuning. The ideal candidate will work on developing, fine-tuning, and optimizing a vision-language model (VLM) to extract structured information from scanned documents. You will collaborate with data scientists and backend engineers to build an accurate, high-throughput, and production-ready AI pipeline. Key Res…",https://www.adzuna.in/land/ad/5685302919?se=bt0V_s838RGKZ9TDM2Z5yg&utm_medium=api&utm_source=9296bc9e&v=10F0A8F51DA541590D3552F7320908DBCADEF67B
AI/ML Engineer,The Hartford India,"Hyderabad, Telangana","We are seeking an AI ML Engineer who will be responsible for architecting, building and deploying production-grade AI systems This is a highly hands-on role requiring deep expertise in ML engineering, MLOps, LLM architecture, and Generative/Agentic AI concepts and tooling exposure. Someone with a diverse background/experience and an engineer at heart will fit into this role easily. Key Responsibilities Responsible for design and implementation of AI/ML solutions, enabling comprehensive end-to-e…",https://www.adzuna.in/land/ad/5669582886?se=bt0V_s838RGKZ9TDM2Z5yg&utm_medium=api&utm_source=9296bc9e&v=5B01228769960061BBBA4677304A166077279072
AI/ML Engineer,Recro,"Bangalore, Karnataka","Core Responsibilities Computer Vision Product Development ● Lead the development of computer vision models and pipelines for analyzing images and videos. ● Design systems for tasks such as: ○ object detection and recognition ○ image classification ○ video understanding and event detection ○ segmentation and visual feature extraction ○ OCR and document vision ● Build end-to-end vision processing pipelines including preprocessing, inference, post-processing, and model evaluation. Model Developmen…",https://www.adzuna.in/land/ad/5671631197?se=bt0V_s838RGKZ9TDM2Z5yg&utm_medium=api&utm_source=9296bc9e&v=2ADDA852AE615471C80F19039DF7E029EB21F3C9
AI/ML Engineer,Helixo,"Kochi, Ernakulam","Location: Onsite // Kerala Experience: AI/ML // Min. 1 Year About Us Helixo is a bootstrapped, profitable company on a mission to create next-gen Shopify apps for next-gen ecommerce brands. We’re building the Apple of Shopify - an ecosystem of 15 AI-first apps so seamless and loved, they become the operating system for ecommerce. Brands like Decathlon, Nykaa, and Bellavita have already generated over $120 million in extra revenue through our products. But that’s not enough. Our eyes are on the …",https://www.adzuna.in/land/ad/5575164846?se=bt0V_s838RGKZ9TDM2Z5yg&utm_medium=api&utm_source=9296bc9e&v=8D039711E3479056C845E9A2C8E70E39293BAAF1
AI ML Engineer,Lorven Technologies Inc.,"Bangalore, Karnataka","AI/ML Developer Years of experience: 5 years (with minimum 4 years of relevant experience) Interview Mode: Face to Face only (Bangalore) Notice Period: Immediate to 30 Days Location: Bangalore (Initially 3 Months' Remote after that Hybrid Work mode) Skill: Python, Fast API,Gen AI,Agentic AI,Langchain and LangGraph (Must have) Tensorflow,SQL, MLops,AWS,Azure (Good to have) JD: Experience in Gen AI, CI/CD pipelines, scripting languages, and a deep understanding of version control systems (e.g. Gi…",https://www.adzuna.in/land/ad/5689759299?se=bt0V_s838RGKZ9TDM2Z5yg&utm_medium=api&utm_source=9296bc9e&v=FDCCDF5C3220A9AF46E58FF5ECC46485632D4760
